NIH Spending Categorization,Year,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information ,Project Start Date,Project End Date,Study Section,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Direct Costs by IC,FY Indirect Costs by IC,FY Total Cost by IC,FY Total Cost (Sub Projects)
Biotechnology;Genetics;Human Genome,2010,Address;Alkylation;Animal Model;Area;Bacterial Genome;base;Binding (Molecular Function);Buffers;Cations;Cell model;Cells;Chimera organism;cold temperature;commercialization;Communities;Complex;Custom;Data;design;Development;Disease;DNA;DNA amplification;DNA analysis;DNA lesion;DNA Repair;DNA Sequence;DNA Sequence Analysis;DNA-Directed DNA Polymerase;Drug Formulations;Ear structure;Ensure;Environment;Enzymes;Escherichia coli;Evaluation;Event;Excision;expression vector;Forensic Medicine;Funding;Generations;Genome;Genomics;Grant;Growth;Health;Homeostasis;Hour;Human;Human body;human disease;Human Microbiome;Immunity;improved;Individual;Institutes;Ionic Strengths;Ionizing radiation;Journals;Junk DNA;Justice;Kinetics;Knowledge;locked nucleic acid;Maintenance;Measures;member;Metagenomics;Methodology;Methods;Microbe;microbial;microorganism;Mission;Modification;Nature;new technology;novel;Nucleotides;nutrition;Organism;oxidation;Peer Review;Performance;phosphorothioate;Physiology;Population;prevent;Prevention;Process;Production;protocol development;Protocols documentation;public health relevance;Reaction;Reagent;reagent testing;Relative (related person);repaired;Research;Research Methodology;Research Personnel;Running;Sampling;Scientist;single molecule;Single-Stranded DNA;Sodium Chloride;Solutions;Source;Study Section;symposium;Technology;Temperature;Testing;Time;tool;Validation;Vertebrates;Work;,TOOLS FOR HUMAN MICROBIOME STUDIES,PROJECT NARRATIVEThere is a growing desire to understand more about the relationship human beings have with the microorgan-isms growing in and on their bodies (the human microbiome). DNA sequencing of the entire genome of each or-ganism is one method being used to gather precise information about these microorganisms. The team plans todevelop a whole-genome DNA amplification method with single cell sensitivity that will enable high-throughputDNA sequencing of entire genomes to be performed from single cells; eliminating the requirement to purify andculture each isolate.,NHGRI,7932540,30-Jul-10,RFA-RM-09-009,1R21HG005065-01A1,1,R21,HG,5065,1,A1,"SCHLOSS, JEFFERY ",1-Aug-10,30-Jun-12,Special Emphasis Panel (ZRG1-IDM-M (50)),,6161372,"NELSON, JOHN ",Not Applicable,20,Unavailable,86188401,US,42.795256,-73.867183,GENERAL ELECTRIC GLOBAL RESEARCH CTR,NISKAYUNA,NY,Unavailable,12309-1027,UNITED STATES, ,1-Aug-10,30-Jun-11,310,Research Projects,2010,OD,,,392440,
Biotechnology;Genetics;Human Genome,2011,Address;Alkylation;Animal Model;Area;Bacterial Genome;base;Binding (Molecular Function);Buffers;Cations;Cell model;Cells;Chimera organism;cold temperature;commercialization;Communities;Complex;Custom;Data;design;Development;Disease;DNA;DNA amplification;DNA analysis;DNA lesion;DNA Repair;DNA Sequence;DNA Sequence Analysis;DNA-Directed DNA Polymerase;Drug Formulations;Ear structure;Ensure;Environment;Enzymes;Escherichia coli;Evaluation;Event;Excision;expression vector;Forensic Medicine;Funding;Generations;Genome;Genomics;Grant;Growth;Health;Homeostasis;Hour;Human;Human body;human disease;Human Microbiome;Immunity;improved;Individual;Institutes;Ionic Strengths;Ionizing radiation;Journals;Junk DNA;Justice;Kinetics;Knowledge;locked nucleic acid;Maintenance;Measures;member;Metagenomics;Methodology;Methods;Microbe;microbial;microorganism;Mission;Modification;Nature;new technology;novel;Nucleotides;nutrition;Organism;oxidation;Peer Review;Performance;phosphorothioate;Physiology;Population;prevent;Prevention;Procedures;Process;Production;protocol development;Protocols documentation;public health relevance;Publications;Reaction;Reagent;reagent testing;Relative (related person);repaired;Research;Research Methodology;Research Personnel;Running;Sampling;Scientist;single molecule;Single-Stranded DNA;Sodium Chloride;Solutions;Source;Study Section;symposium;Technology;Temperature;Testing;Time;tool;Validation;Vertebrates;Work;,TOOLS FOR HUMAN MICROBIOME STUDIES,PROJECT NARRATIVE There is a growing desire to understand more about the relationship human beings have with the microorgan- isms growing in and on their bodies (the human microbiome). DNA sequencing of the entire genome of each or- ganism is one method being used to gather precise information about these microorganisms. The team plans to develop a whole-genome DNA amplification method with single cell sensitivity that will enable high-throughput DNA sequencing of entire genomes to be performed from single cells; eliminating the requirement to purify and culture each isolate.,NHGRI,8118225,1-Jul-11,RFA-RM-09-009,5R21HG005065-02,5,R21,HG,5065,2,,"SCHLOSS, JEFFERY ",1-Aug-10,31-Aug-13,Special Emphasis Panel (ZRG1-IDM-M (50)),,6161372,"NELSON, JOHN ",Not Applicable,20,Unavailable,86188401,US,42.795256,-73.867183,GENERAL ELECTRIC GLOBAL RESEARCH CTR,NISKAYUNA,NY,Unavailable,12309-1027,UNITED STATES, ,1-Jul-11,31-Aug-13,310,Research Projects,2011,OD,,,144622,
Biotechnology;Genetics;Human Genome,2012,Address;Alkylation;Animal Model;Area;Bacterial Genome;base;Binding (Molecular Function);Buffers;Cations;Cell model;Cells;Chimera organism;cold temperature;commercialization;Communities;Complex;Custom;Data;design;Development;Disease;DNA;DNA amplification;DNA analysis;DNA lesion;DNA Repair;DNA Sequence;DNA Sequence Analysis;DNA-Directed DNA Polymerase;Drug Formulations;Ear structure;Ensure;Environment;Enzymes;Escherichia coli;Evaluation;Event;Excision;expression vector;Forensic Medicine;Funding;Generations;Genome;Genomics;Grant;Growth;Health;Homeostasis;Hour;Human;Human body;human disease;Human Microbiome;Immunity;improved;Individual;Institutes;Ionic Strengths;Ionizing radiation;Journals;Junk DNA;Justice;Kinetics;Knowledge;locked nucleic acid;Maintenance;Measures;member;Metagenomics;Methodology;Methods;Microbe;microbial;microorganism;Mission;Modification;Nature;new technology;novel;Nucleotides;nutrition;Organism;oxidation;Peer Review;Performance;phosphorothioate;Physiology;Population;prevent;Prevention;Procedures;Process;Production;protocol development;Protocols documentation;public health relevance;Publications;Reaction;Reagent;reagent testing;Relative (related person);repaired;Research;Research Methodology;Research Personnel;Running;Sampling;Scientist;single molecule;Single-Stranded DNA;Sodium Chloride;Solutions;Source;Study Section;symposium;Technology;Temperature;Testing;Time;tool;Validation;Vertebrates;Work;,TOOLS FOR HUMAN MICROBIOME STUDIES,PROJECT NARRATIVE There is a growing desire to understand more about the relationship human beings have with the microorgan- isms growing in and on their bodies (the human microbiome). DNA sequencing of the entire genome of each or- ganism is one method being used to gather precise information about these microorganisms. The team plans to develop a whole-genome DNA amplification method with single cell sensitivity that will enable high-throughput DNA sequencing of entire genomes to be performed from single cells; eliminating the requirement to purify and culture each isolate.,NHGRI,8523444,12-Sep-12,RFA-RM-09-009,3R21HG005065-02S1,3,R21,HG,5065,2,S1,"SCHLOSS, JEFFERY ",1-Aug-10,31-Aug-13,Special Emphasis Panel (ZRG1-IDM-M (50)),,6161372,"NELSON, JOHN ",Not Applicable,20,Unavailable,86188401,US,42.795256,-73.867183,GENERAL ELECTRIC GLOBAL RESEARCH CTR,NISKAYUNA,NY,Unavailable,12309-1027,UNITED STATES, ,1-Jul-11,31-Aug-13,310,Research Projects,2012,OD,37762,23945,61707,
Clinical Research;Genetics;Human Genome,2009,Address;Americas;Apache Indians;base;Biology;Categories;Cells;Clinical;Collection;Communities;comparative;Complement;Data;Data Analyses;Diet;Disadvantaged;Disease;Economics;Environment;Ethics;Evaluation;experience;Feces;Focus Groups;Future;Generations;Genome;Goals;Health;health disparity;Human;Human body;Human Microbiome;Indigenous;Individual;Interview;Investigation;Life;Life Style;Location;Mediation;Medical;meetings;member;Microbe;microbiome;microorganism;Modeling;Native-Born;North America;Participant;Peru;Population;Predisposition;Procedures;Process;public health relevance;Publications;quechua;Recording of previous events;Research;Research Personnel;Research Project Grants;Saliva;sample collection;Sampling;social;Social Identification;social implication;Source;South America;Surveys;Time;Variant;,INDIGENOUS COMMUNITIES AND HUMAN MICROBIOME RESEARCH,NARRATIVEThis project will advance our understanding of the relationship between social andancestral identities and biology as well as develop a model for engaging indigenouscommunities in human microbiome studies. Both those goals will contribute to reducinghealth disparities in populations with histories of exploitation and economic and politicaldisadvantages.  ,NHGRI,7744336,9-Jul-09,RFA-RM-08-030,1R01HG005172-01,1,R01,HG,5172,1,,"MCEWEN, JEAN ",10-Jul-09,30-Jun-12,Special Emphasis Panel (),,2188878,"SPICER, PAUL G",Not Applicable,4,SOCIAL SCIENCES,848348348,US,35.233502,-97.347078,UNIVERSITY OF OKLAHOMA NORMAN,NORMAN,OK,SCHOOLS OF ARTS AND SCIENCES,73019-9705,UNITED STATES, ,10-Jul-09,30-Jun-10,310,Research Projects,2009,OD,,,300000,
Clinical Research;Genetics;Human Genome,2009,Address;Americas;Apache Indians;base;Biology;Categories;Cells;Clinical;Collection;Communities;comparative;Complement;Data;Data Analyses;Diet;Disadvantaged;Disease;Economics;Environment;Ethics;Evaluation;experience;Feces;Focus Groups;Future;Generations;Genome;Goals;Health;health disparity;Human;Human body;Human Microbiome;Indigenous;Individual;Interview;Investigation;Life;Life Style;Location;Mediation;Medical;meetings;member;Microbe;microbiome;microorganism;Modeling;Native-Born;North America;Participant;Peru;Population;Predisposition;Procedures;Process;public health relevance;Publications;quechua;Recording of previous events;Research;Research Personnel;Research Project Grants;Saliva;sample collection;Sampling;social;Social Identification;social implication;Source;South America;Surveys;Time;Variant;,INDIGENOUS COMMUNITIES AND HUMAN MICROBIOME RESEARCH,NARRATIVEThis project will advance our understanding of the relationship between social andancestral identities and biology as well as develop a model for engaging indigenouscommunities in human microbiome studies. Both those goals will contribute to reducinghealth disparities in populations with histories of exploitation and economic and politicaldisadvantages.  ,NHGRI,7744336,9-Jul-09,RFA-RM-08-030,1R01HG005172-01,1,R01,HG,5172,1,,"MCEWEN, JEAN ",10-Jul-09,30-Jun-12,Special Emphasis Panel (),,2188878,"SPICER, PAUL G",Not Applicable,4,SOCIAL SCIENCES,848348348,US,35.233502,-97.347078,UNIVERSITY OF OKLAHOMA NORMAN,NORMAN,OK,SCHOOLS OF ARTS AND SCIENCES,73019-9705,UNITED STATES, ,10-Jul-09,30-Jun-10,310,Research Projects,2009,NHGRI,,,53400,
Clinical Research;Genetics;Human Genome,2010,Address;Americas;Apache Indians;base;Biology;Categories;Cells;Clinical;Collection;Communities;comparative;Complement;Data;Data Analyses;Diet;Disadvantaged;Disease;Economics;Environment;Ethics;Evaluation;experience;Feces;Focus Groups;Future;Generations;Genome;Goals;Health;health disparity;Human;Human body;Human Microbiome;Indigenous;Individual;Interview;Investigation;Life;Life Style;Location;Mediation;Medical;meetings;member;Microbe;microbiome;microorganism;Modeling;Native-Born;North America;Participant;Peru;Population;Predisposition;Procedures;Process;public health relevance;Publications;quechua;Recording of previous events;Research;Research Personnel;Research Project Grants;Saliva;sample collection;Sampling;social;Social Identification;social implication;Source;South America;Surveys;Time;Variant;,INDIGENOUS COMMUNITIES AND HUMAN MICROBIOME RESEARCH,NARRATIVEThis project will advance our understanding of the relationship between social andancestral identities and biology as well as develop a model for engaging indigenouscommunities in human microbiome studies. Both those goals will contribute to reducinghealth disparities in populations with histories of exploitation and economic and politicaldisadvantages.  ,NHGRI,7893795,5-Jul-10,RFA-RM-08-030,5R01HG005172-02,5,R01,HG,5172,2,,"MCEWEN, JEAN ",10-Jul-09,30-Jun-12,Special Emphasis Panel (),,2188878,"SPICER, PAUL G",Not Applicable,4,SOCIAL SCIENCES,848348348,US,35.233502,-97.347078,UNIVERSITY OF OKLAHOMA NORMAN,NORMAN,OK,SCHOOLS OF ARTS AND SCIENCES,73019-9705,UNITED STATES, ,1-Jul-10,30-Jun-11,310,Research Projects,2010,OD,,,297000,
Clinical Research;Genetics;Human Genome,2010,Address;Americas;Apache Indians;base;Biology;Categories;Cells;Clinical;Collection;Communities;comparative;Complement;Data;Data Analyses;Diet;Disadvantaged;Disease;Economics;Environment;Ethics;Evaluation;experience;Feces;Focus Groups;Future;Generations;Genome;Goals;Health;health disparity;Human;Human body;Human Microbiome;Indigenous;Individual;Interview;Investigation;Life;Life Style;Location;Mediation;Medical;meetings;member;Microbe;microbiome;microorganism;Modeling;Native-Born;North America;Participant;Peru;Population;Predisposition;Procedures;Process;public health relevance;Publications;quechua;Recording of previous events;Research;Research Personnel;Research Project Grants;Saliva;sample collection;Sampling;social;Social Identification;social implication;Source;South America;Surveys;Time;Variant;,INDIGENOUS COMMUNITIES AND HUMAN MICROBIOME RESEARCH,NARRATIVEThis project will advance our understanding of the relationship between social andancestral identities and biology as well as develop a model for engaging indigenouscommunities in human microbiome studies. Both those goals will contribute to reducinghealth disparities in populations with histories of exploitation and economic and politicaldisadvantages.  ,NHGRI,7893795,5-Jul-10,RFA-RM-08-030,5R01HG005172-02,5,R01,HG,5172,2,,"MCEWEN, JEAN ",10-Jul-09,30-Jun-12,Special Emphasis Panel (),,2188878,"SPICER, PAUL G",Not Applicable,4,SOCIAL SCIENCES,848348348,US,35.233502,-97.347078,UNIVERSITY OF OKLAHOMA NORMAN,NORMAN,OK,SCHOOLS OF ARTS AND SCIENCES,73019-9705,UNITED STATES, ,1-Jul-10,30-Jun-11,310,Research Projects,2010,NHGRI,,,52536,
Digestive Diseases;Nutrition,2011,"Ablation;Address;Affect;Anaerobic Bacteria;Anaerobiosis;Animal Model;Attention;Bacterial Adhesins;bacterial H antigen;Bacteroidetes;base;capsule (pharmacologic);Cecum;Cells;Coculture Techniques;Communities;Complex;Coupled;design;Dietary Fiber;Digestion;Disease Resistance;Dissection;Ecosystem;Escherichia coli;Exhibits;feeding;fitness;Flagella;Fluorescent in Situ Hybridization;Food Webs;Foundations;Genetic;Genomics;Goals;Gram-Negative Bacteria;Growth;Health;Host resistance;Human;Human Microbiome;Image;In Situ;Individual;instrumentation;Intestines;K antigen;Kinetics;Lasers;Learning;Life;Lipopolysaccharides;Mass Spectrum Analysis;Measures;member;Metabolic;Metabolism;metabolomics;Microbe;microbial;microbial community;microorganism;Microscopic;Modeling;Molecular;mouse model;Mucous body substance;Mus;new technology;novel;Nutrient;Nutritional;Nutritional Study;O Antigens;Oklahoma;Organism;Oxygen;Oxygen measurement, partial pressure, arterial;Pathway interactions;Pattern;Phylogenetic Analysis;Phylogeny;Play;Polysaccharides;Population;Process;programs;Property;Research;Research Design;research study;Resources;Role;rRNA Genes;Sampling;Source;Specific qualifier value;Streptomycin;Structure;success;sugar;Surface;Surface Properties;Symbiosis;Techniques;Testing;tool;trait;Universities;",SYMBIOSIS OF E. COLI AND THE INTESTINAL MICROBIOTA IN A MOUSE MODEL, We will use a mouse model of intestinal colonization to explore and characterize the symbiotic relationship in which we hypothesize that E. coli generates anaerobic conditions to stimulate growth of anaerobes that degrade complex polysaccharides; which in turn release simple sugars that cross-feed E. coli. We will use the tools of genomics to determine the microbial community composition as it is impacted by scavenging of oxygen by E. coli and; in addition; we will couple the community analysis with sophisticated microscopic techniques to determine the specific organisms that E. coli physically associates with in the intestine and we will determine nutrient flow between these organisms in co-culture experiments. Our research represents an unprecedented step forward in the effort to characterize the functional roles of individual microbes in the human microbiome.              ,NIGMS,8302475,20-Jul-11,RFA-GM-11-001,3R01GM095370-01S1,3,R01,GM,95370,1,S1,"SINGH, SHIVA P",1-Jan-11,31-Dec-14,Special Emphasis Panel (ZGM1-GDB-2 (MC)),,1973942,"CONWAY, TYRRELL ",Not Applicable,4,OTHER BASIC SCIENCES,848348348,US,35.233502,-97.347078,UNIVERSITY OF OKLAHOMA NORMAN,NORMAN,OK,SCHOOLS OF ARTS AND SCIENCES,73019-9705,UNITED STATES, ,1-Jan-11,31-Dec-11,859,Research Projects,2011,NIGMS,,,18247,
Digestive Diseases;Nutrition,2011,"Ablation;Address;Affect;Anaerobic Bacteria;Anaerobiosis;Animal Model;Attention;Bacterial Adhesins;bacterial H antigen;Bacteroidetes;base;capsule (pharmacologic);Cecum;Cells;Coculture Techniques;Communities;Complex;Coupled;design;Dietary Fiber;Digestion;Disease Resistance;Dissection;Ecosystem;Escherichia coli;Exhibits;feeding;fitness;Flagella;Fluorescent in Situ Hybridization;Food Webs;Foundations;Genetic;Genomics;Goals;Gram-Negative Bacteria;Growth;Health;Host resistance;Human;Human Microbiome;Image;In Situ;Individual;instrumentation;Intestines;K antigen;Kinetics;Lasers;Learning;Life;Lipopolysaccharides;Mass Spectrum Analysis;Measures;member;Metabolic;Metabolism;metabolomics;Microbe;microbial;microbial community;microorganism;Microscopic;Modeling;Molecular;mouse model;Mucous body substance;Mus;new technology;novel;Nutrient;Nutritional;Nutritional Study;O Antigens;Oklahoma;Organism;Oxygen;Oxygen measurement, partial pressure, arterial;Pathway interactions;Pattern;Phylogenetic Analysis;Phylogeny;Play;Polysaccharides;Population;Process;programs;Property;Research;Research Design;research study;Resources;Role;rRNA Genes;Sampling;Source;Specific qualifier value;Streptomycin;Structure;success;sugar;Surface;Surface Properties;Symbiosis;Techniques;Testing;tool;trait;Universities;",SYMBIOSIS OF E. COLI AND THE INTESTINAL MICROBIOTA IN A MOUSE MODEL, We will use a mouse model of intestinal colonization to explore and characterize the symbiotic relationship in which we hypothesize that E. coli generates anaerobic conditions to stimulate growth of anaerobes that degrade complex polysaccharides; which in turn release simple sugars that cross-feed E. coli. We will use the tools of genomics to determine the microbial community composition as it is impacted by scavenging of oxygen by E. coli and; in addition; we will couple the community analysis with sophisticated microscopic techniques to determine the specific organisms that E. coli physically associates with in the intestine and we will determine nutrient flow between these organisms in co-culture experiments. Our research represents an unprecedented step forward in the effort to characterize the functional roles of individual microbes in the human microbiome.              ,NIGMS,8015175,13-Dec-10,RFA-GM-11-001,1R01GM095370-01,1,R01,GM,95370,1,,"SINGH, SHIVA P",1-Jan-11,31-Dec-14,Special Emphasis Panel (ZGM1-GDB-2 (MC)),,1973942,"CONWAY, TYRRELL ",Not Applicable,4,OTHER BASIC SCIENCES,848348348,US,35.233502,-97.347078,UNIVERSITY OF OKLAHOMA NORMAN,NORMAN,OK,SCHOOLS OF ARTS AND SCIENCES,73019-9705,UNITED STATES, ,1-Jan-11,31-Dec-11,859,Research Projects,2011,NIGMS,,,385843,
Biotechnology;Clinical Research;Genetics;Human Genome,2011,Address;Altitude;Americas;Antibiotics;Bacterial Genes;Clinical;Clostridium;Communities;community living;Complex;Data;design;Developed Countries;Diet;Diet Records;Dietary Practices;Disease;disorder risk;DNA Sequence;drug metabolism;Ecology;Ecosystem;Environment;European;Evaluation;Evolution;Feces;food resource;Foundations;Frequencies (time pattern);functional genomics;gene function;Genes;Genome;genome sequencing;Geographic Locations;Goals;Grasslands;gut microflora;Health;Human;human disease;Human Microbiome;Indigenous;Individual;Intestines;Investigation;Knowledge;lactic acid bacteria;Lead;Life;Location;Medical;member;Metabolism;Methods;Microbe;microbial;microbial genome;microbiome;Mummies;next generation;North America;novel;Order Spirochaetales;Outcome;Peru;Pharmaceutical Preparations;Phylogenetic Analysis;Population;Process;Published Comment;Publishing;Recording of previous events;Recovery;Research;Role;Sampling;Sampling Studies;Shapes;South American;Structure;Taxon;Technology;Testing;Treponema;,HUMAN INTESTINAL MICROBIAL ECOLOGIES OF INDIGENOUS COMMUNITIES, Human microbial diversity is shown to impact human disease risks; drug metabolism; and may provide a foundation for novel drug treatments; yet; to date; the range of human microbial diversity is largely limited to observations from clinical samples from industrialized nations. This study will greatly expand the knowledge of human microbial diversity by using state of the art technology to characterize human microbes of the gut collected from contemporary remote indigenous communities living in three very different environments: coastal desert; high altitude Andes; and the Amazon jungle as well as ancient samples derived directly from mummified human remains.      ,NIGMS,8104656,20-Jun-11,PA-10-067,1R01GM089886-01A1,1,R01,GM,89886,1,A1,"SINGH, SHIVA P",1-Jul-11,30-Jun-14,"Infectious Diseases, Reproductive Health, Asthma and Pulmonary Conditions Study Section (IRAP) ",,9753517,"LEWIS, CECIL M ","LAWSON, PAUL ALAN",4,SOCIAL SCIENCES,848348348,US,35.233502,-97.347078,UNIVERSITY OF OKLAHOMA NORMAN,NORMAN,OK,SCHOOLS OF ARTS AND SCIENCES,73019-9705,UNITED STATES, ,1-Jul-11,30-Jun-12,859,Research Projects,2011,NIGMS,,,317285,
Clinical Research;Genetics;Human Genome,2011,Address;Americas;Apache Indians;base;Biology;Categories;Cells;Clinical;Collection;Communities;comparative;Complement;Data;Data Analyses;Diet;Disadvantaged;Disease;Economics;Environment;Ethics;Evaluation;experience;Feces;Focus Groups;Future;Generations;Genome;Goals;Health;health disparity;Human;Human body;Human Microbiome;Indigenous;Individual;Interview;Investigation;Life;Life Style;Location;Mediation;Medical;meetings;member;Microbe;microbiome;microorganism;Modeling;Native-Born;North America;Participant;Peru;Population;Predisposition;Procedures;Process;Publications;quechua;Recording of previous events;Research;Research Personnel;Research Project Grants;Saliva;sample collection;Sampling;social;Social Identification;social implication;Source;South America;Surveys;Time;Variant;,INDIGENOUS COMMUNITIES AND HUMAN MICROBIOME RESEARCH,NARRATIVEThis project will advance our understanding of the relationship between social andancestral identities and biology as well as develop a model for engaging indigenouscommunities in human microbiome studies. Both those goals will contribute to reducinghealth disparities in populations with histories of exploitation and economic and politicaldisadvantages.  ,NHGRI,8107490,18-Jul-11,RFA-RM-08-030,5R01HG005172-03,5,R01,HG,5172,3,,"MCEWEN, JEAN ",10-Jul-09,30-Jun-13,Special Emphasis Panel (ZRG1-GGG-E (52)),,2188878,"SPICER, PAUL G",Not Applicable,4,SOCIAL SCIENCES,848348348,US,35.233502,-97.347078,UNIVERSITY OF OKLAHOMA NORMAN,NORMAN,OK,SCHOOLS OF ARTS AND SCIENCES,73019-9705,UNITED STATES, ,1-Jul-11,30-Jun-13,310,Research Projects,2011,NHGRI,,,53378,
Clinical Research;Genetics;Human Genome,2011,Address;Americas;Apache Indians;base;Biology;Categories;Cells;Clinical;Collection;Communities;comparative;Complement;Data;Data Analyses;Diet;Disadvantaged;Disease;Economics;Environment;Ethics;Evaluation;experience;Feces;Focus Groups;Future;Generations;Genome;Goals;Health;health disparity;Human;Human body;Human Microbiome;Indigenous;Individual;Interview;Investigation;Life;Life Style;Location;Mediation;Medical;meetings;member;Microbe;microbiome;microorganism;Modeling;Native-Born;North America;Participant;Peru;Population;Predisposition;Procedures;Process;Publications;quechua;Recording of previous events;Research;Research Personnel;Research Project Grants;Saliva;sample collection;Sampling;social;Social Identification;social implication;Source;South America;Surveys;Time;Variant;,INDIGENOUS COMMUNITIES AND HUMAN MICROBIOME RESEARCH,NARRATIVEThis project will advance our understanding of the relationship between social andancestral identities and biology as well as develop a model for engaging indigenouscommunities in human microbiome studies. Both those goals will contribute to reducinghealth disparities in populations with histories of exploitation and economic and politicaldisadvantages.  ,NHGRI,8107490,18-Jul-11,RFA-RM-08-030,5R01HG005172-03,5,R01,HG,5172,3,,"MCEWEN, JEAN ",10-Jul-09,30-Jun-13,Special Emphasis Panel (ZRG1-GGG-E (52)),,2188878,"SPICER, PAUL G",Not Applicable,4,SOCIAL SCIENCES,848348348,US,35.233502,-97.347078,UNIVERSITY OF OKLAHOMA NORMAN,NORMAN,OK,SCHOOLS OF ARTS AND SCIENCES,73019-9705,UNITED STATES, ,1-Jul-11,30-Jun-13,310,Research Projects,2011,OD,,,294030,
Biotechnology;Genetics;Human Genome;Infectious Diseases,2012,Aminoglycosides;Anti-Bacterial Agents;Anti-Infective Agents;Antifungal Agents;antimicrobial;antimicrobial drug;Antimicrobial Effect;Bacteria;base;beta-Lactams;Biological;Biological Assay;Biological Factors;Candida;Cephalosporins;Chemicals;clinically relevant;Collaborations;combat;Communicable Diseases;Data Set;Development;drug development;drug discovery;Drug resistance;Ecology;Exhibits;Fractionation;fungus;Generations;genome sequencing;Genomics;Genus staphylococcus;Goals;Growth;Health;Human;Human Microbiome;Imidazole;Infection;Infection Control;Infectious Agent;Investigation;Laboratories;Lead;Libraries;Macrolides;Mammals;member;microbial;microbiome;microorganism;Molecular;Natural Products Chemistry;novel;Organism;Outcome Study;pathogen;pathogenic bacteria;Pathway interactions;Pharmaceutical Preparations;pharmacophore;Polyenes;Process;programs;Pseudomonas;Reporting;Research;Resistance;Resources;Ribosomal RNA;scale up;Screening procedure;Secure;Social Welfare;Source;Structure;success;Taxonomy;Techniques;Testing;Therapeutic;Therapeutic Agents;trait;Work;,ANTIMICROBIALS FROM MAMMALIAN MICROBIOMES, New antimicrobial compounds are needed to combat the growing threat posed by drug-resistant pathogenic bacteria and fungi. Investigating mammalian microbiomes for novel organic substances will help invigorate the antimicrobial drug discovery pipeline; which is critical to the success of modern drug discovery and development programs.         ,NIAID,8359256,3-Jul-12,PA-11-261,1R21AI101487-01,1,R21,AI,101487,1,,"XU, ZUOYU ",15-Jul-12,30-Jun-14,Drug Discovery and Mechanisms of Antimicrobial Resistance Study Section (DDR) ,,8769887,"CICHEWICZ, ROBERT HENRY ","STEVENSON, BRADLEY SCOTT",4,CHEMISTRY,848348348,US,35.233502,-97.347078,UNIVERSITY OF OKLAHOMA NORMAN,NORMAN,OK,SCHOOLS OF ARTS AND SCIENCES,73019-9705,UNITED STATES, ,15-Jul-12,30-Jun-13,855,Research Projects,2012,NIAID,150000,67000,217000,
